Video ID,User Name,Comment
W_1bpHPMa2A,Kirkitpan19,"Sony network should learn to respect the game and how to promote a series....<a href=""http://www.youtube.com/results?search_query=%23Chodna"">#Chodna</a> mat it&#39;s should not be the timeline..."
W_1bpHPMa2A,Rajendra Soni,"England may have invented this game but it&#39;s Australia who actually knows more about cricket. India is the main reason why the sports is still alive. Most fan following not only for Indian players but almost from all other cricketing nations will be found in India.<br><br>Ex : Gilchrist, Brett lee, Alistair Cook, ABD, Murali, Shane Warne, Mohd Aamir, Rashid Khan, Shakib al hasan, Imran Khan, Wasim Akram, Shoaib Akhtar, almost all WI player&#39;s, Brendon, Williamson, David warner and steve smith, many many more.."
W_1bpHPMa2A,Sannan Akbar,Really Hyped for the series. I am a Pakistani but never mind seeing two best teams in the world play each other.
W_1bpHPMa2A,Wheel of Life,Will it be on youtube
W_1bpHPMa2A,Karthik Kailas,When is it releasing?
W_1bpHPMa2A,Aditya Singh Aswal,It&#39;s time !
W_1bpHPMa2A,Narendra Murthy,Well i have a gut feeling like you all watching this video . This time it will be India&#39;s first test series victory in Australia.
W_1bpHPMa2A,Kim Jong Un,India Australia...two bad mothafuckers
W_1bpHPMa2A,kingvk Ronaldo.,Wow .
W_1bpHPMa2A,Pabitra Matia,"1st episode 21st november 2018 <a href=""https://twitter.com/FoxCricket/status/1064790450580668416"">https://twitter.com/FoxCricket/status/1064790450580668416</a>"
W_1bpHPMa2A,AKSHAY GANESH,Both the nations are violent
W_1bpHPMa2A,Abhimanyu Singh,This was a really good promo<br>I really feel the hype for this series
W_1bpHPMa2A,DIWAKAR SHARMA,How can I watch it in India
W_1bpHPMa2A,Ravi Kiran N,Waiting for this one 🔥 Fire V/S Fire
W_1bpHPMa2A,Amit thakur,"Definitely very good series both teams are dangerous,,"
n3wBE22Kuvc,Jasmin Ferdous,"I want to see Mitchell Starc bowling Against Alyssa Healy. 💙💙💙 when Mitchell will does bowling 152kmph Against Alyssa Healy, i will very happy because their my one and only favorite bowler and favourite batsman💙💙💙💙"
n3wBE22Kuvc,Daniel BROWNE,Starc is a decent guy
n3wBE22Kuvc,Worldly Ones,Brownie points 😂
n3wBE22Kuvc,Vijay Raj.. Govinda,Namaste UP warriors captain ❤️ from India
n3wBE22Kuvc,Dillip Sethi,Far better than Chokli &amp; bhanuska
n3wBE22Kuvc,Ravikumar Muddada,Perfect couple 💝
n3wBE22Kuvc,CrickChick,Would love to see him bowl to her
n3wBE22Kuvc,Dhanraj sabale,"Owsm legend Couple in cricket, both are legends in the Australian team"
n3wBE22Kuvc,Pranav Prakash,CUTE🧡
n3wBE22Kuvc,Ankit Singh,Couple 😍
n3wBE22Kuvc,Rajeev Kaushek,Her Uncle&#39;s kept to Warnie in his prime. So tips from him will be handy
n3wBE22Kuvc,Memorable moments,Best Couple ❤️
n3wBE22Kuvc,𝙀𝙡𝙚𝙘𝙩𝙧𝙞𝙘-𝙎𝙝𝙚𝙚𝙥⚡,"They have respect, friendship n love bw them"
n3wBE22Kuvc,Intelligent akt,Bhas 23 ko mat chalna sf me🥲
n3wBE22Kuvc,Beautiful Programmer,The most talented couple on this universe 😱😱😱😍❤️
n3wBE22Kuvc,Shourovs creation,In their relation mitch is like wife &amp; healy is like husband 😄
n3wBE22Kuvc,Fly ingDutch,These two should have a reality tv show: “StEaly”
n3wBE22Kuvc,VK 45,Healy Starc ❤️
n3wBE22Kuvc,MIAK G,"This is like the Undertaker, so scary on the field but friendly outside the field."
n3wBE22Kuvc,Tushar Kumar,Last one was best 😂😂😂
n3wBE22Kuvc,Eklipz WAVEY ,These guys look like a real couple.
n3wBE22Kuvc,ALI,Who are they?
n3wBE22Kuvc,Sue Christensen,Hey starcie would you rather 100 runs or 500 test wickets
n3wBE22Kuvc,Asiq Ahmed Chowdhury,Starc &amp; Healy together they are pretty 😊😊
n3wBE22Kuvc,Mohammad Formanul Islam,"Watch - <a href=""https://youtu.be/b4gqyEoPUM8"">https://youtu.be/b4gqyEoPUM8</a>"
n3wBE22Kuvc,V . A,Mitchel starc
n3wBE22Kuvc,anji 463,You play ipl sir
n3wBE22Kuvc,mukul goud,cute pair
n3wBE22Kuvc,Praneeth,"I wonder how they face each other when they are playing. Starc bowling to his wife, if she practices with then, she would turn out to be a good batsmen"
n3wBE22Kuvc,Daniel Mahoney,At long reef
n3wBE22Kuvc,Mr. Forster,"Mitch, love watching you bowl.............but Alyssa is like a magnet when it come to watch class."
n3wBE22Kuvc,Ranjit Yadav,"I love my india very much ,Australia is my friend and  i love it also"
n3wBE22Kuvc,Goldman Hadad,Indians are everywhere in every single god damn youtube video comment section <br>They are there
n3wBE22Kuvc,Sourav singh,"Can you do one with Murli vijai, his wife and dk"
n3wBE22Kuvc,Tarun Sambharwal,Hey Dear starc have you ever bowled alyssa in nets at full pace.why cant BBL is a mix up of men and women cricket?
n3wBE22Kuvc,Ryan Chapman,There so cute
n3wBE22Kuvc,Ajay V,That was damn Cute
n3wBE22Kuvc,TARA •,Power couple ❤️🔥
n3wBE22Kuvc,Sukreet Kolay,Such a adorable couple 💑 😍
n3wBE22Kuvc,The Cleaner,He doesn&#39;t know it yet but he married a lesbian
n3wBE22Kuvc,Juicy Reindeer,Warne is the greatest bowler of all time change my mind
n3wBE22Kuvc,shoukathali,Made for each other❤❤❤
n3wBE22Kuvc,Lord Govind Great heart,I want to see Mitchell Starc bowling against Aleyssa Healey! Will he dare to bowl that 150kmph inswinging toe crushing  Yorker? A perfect anniversary gift for your wifey😋😋
n3wBE22Kuvc,Leigh Williams,Great response starc on the first question
n3wBE22Kuvc,Usama jutT,YouTube recommend it after India all out on 36😂
n3wBE22Kuvc,king_man,❤️
n3wBE22Kuvc,darkakdr 32,Cute guys
n3wBE22Kuvc,8122 Ashutosh Mohalkar,He looks like burak deniz
n3wBE22Kuvc,Utkarsh Singh,Wait &quot;She gave me 3 batters which I don&#39;t even like&quot; what did he mean?
n3wBE22Kuvc,RohanBGMI,Money will be used in some years but hat-trick will be remembered for decades
n3wBE22Kuvc,Pear Hat,Win win for both. Indians will give you 3 wickets of your choice for your 5 million
n3wBE22Kuvc,Moodysoody...,When you said about tAking hattrick ... I liked it... Love from india ... To my champion bowler...
n3wBE22Kuvc,Anuj Chandra,Sweet♥️
n3wBE22Kuvc,Yash Prajapati,Would you rather celebrate friendship day pollard?😂
n3wBE22Kuvc,That guy Pratyus,He&#39;s sooo down to earth ❤❤❤
n3wBE22Kuvc,Subhojit Chakraborty,Hatricks in your dreams little boy
n3wBE22Kuvc,___mcfc,first 80 runs were easy wow
n3wBE22Kuvc,s rathwa,Ninja technique : put indian in video or thumbnail or title for views 😂
n3wBE22Kuvc,Arnab Pal,Best sportscouple ever I&#39;ve seen
n3wBE22Kuvc,Journey  1987,I love this couple. Both are legends in cricket
n3wBE22Kuvc,samarth Kanodia,Hatrick in the next match
n3wBE22Kuvc,Warriors Son 1966,They sound like best friends. Down to earth.Great players too.
n3wBE22Kuvc,Farhan Ali,95%views Pakistani
n3wBE22Kuvc,Sanjay Sathu,We want to see alesy Healy batting when Starc bowling
n3wBE22Kuvc,Donepudi Dheeraj,Starc pls come back to ipl and come back to rcb
n3wBE22Kuvc,Dhemna Chowdhury,Kuch samjha nehi but maja aya
n3wBE22Kuvc,Bass Guite,Chi khemkhem
n3wBE22Kuvc,Armaan Kapoor,Now do with krishna and his 10000000 wives 😂😂😂😂😂
n3wBE22Kuvc,Master Mahesh Negi,Best couples for ever...... 😎
n3wBE22Kuvc,KABIR T2,Stark is a good bollar
n3wBE22Kuvc,Oscar Mano,Nxcowwww......schweeeeeeeet😍😍😍😍
n3wBE22Kuvc,karthik Rodriguez,"Dogs over hubby, not cool tho"
n3wBE22Kuvc,Amit Sharma,Thug life starc
n3wBE22Kuvc,Kajal kangra,This video prove dogs comes first...... And at last men 🤨🤨
n3wBE22Kuvc,DëëŃ Bïplöb,❤️❤️❤️
n3wBE22Kuvc,Ikram Hussain khan,.
n3wBE22Kuvc,Subhash Sagar,"<a href=""http://www.youtube.com/results?search_query=%23CoupleGoals"">#CoupleGoals</a>"
n3wBE22Kuvc,BEN MANJU,Nice
n3wBE22Kuvc,aalu aalu,Ek dhakkad batsmen Healy nd dusra sbse faster bowler starc nice jodi
n3wBE22Kuvc,harsh vishnoi,best couple
n3wBE22Kuvc,Krishna gopal Yadav,strce Halley is best couple
n3wBE22Kuvc,GoDStarc YT,Couple goals
n3wBE22Kuvc,suraj jajoo,I just love this couple 😍
n3wBE22Kuvc,SZS TRAVLER,Beautiful couple Starc look like totally waseem Akram
n3wBE22Kuvc,Ali Khan VK,<b>I think 95% Viewers are INDIAS</b>
n3wBE22Kuvc,Phsi saraj,Ein logho ko<br>Koi puchta tak nahi he<br>Australia me<br>India <br>Me star hote he
n3wBE22Kuvc,Sanuji Nuwanga,Best bowler in world
n3wBE22Kuvc,AT MOVE,Starc is great player
n3wBE22Kuvc,SS CHARIZARD,"<a href=""https://www.youtube.com/watch?v=n3wBE22Kuvc&amp;t=1m52s"">1:52</a> tere se na ho paaeyga beta Pant aur Jadeja toh pel dete hain tere ko kya pata Bumrah bhi 6 mar de tere ko"
n3wBE22Kuvc,Abdullah Sayem Nabil,This is so cute man🤙😍
n3wBE22Kuvc,Ashish Dev,Who is here after 2020 t20 final
n3wBE22Kuvc,Sureshbabu Macherla,God bless this beautiful couple.
n3wBE22Kuvc,kheeleshwar p,Nice couple like me
n3wBE22Kuvc,Dilip Sing,Best kapal
n3wBE22Kuvc,sathvik reddy,Nice to see both happy one of the best couple
n3wBE22Kuvc,Sanjay Singh,One is with high speed bowling &amp; other with high speed power batting....
n3wBE22Kuvc,Sampanna Modi,We want to see play them together
n3wBE22Kuvc,Sushmita Adhikari,Aww starcy such a cutie He is so shy 😂❤❤
n3wBE22Kuvc,Karthi,🤗🇮🇳☑️👍
n3wBE22Kuvc,vikas gaurav,Who is after t20 world cup
udPy-hc7XPI,Esmail Ahmed,❤
udPy-hc7XPI,Ritesh Kumar,STEVE unstoppable SMITH
udPy-hc7XPI,Mukesh Shah,Smith best
udPy-hc7XPI,Everything Random,Steve Smith should never have been through this
udPy-hc7XPI,Saif,Best batsman in the world  I wish I can meet him once biggest fan of his from India
udPy-hc7XPI,S A Y A N,"<a href=""https://www.youtube.com/watch?v=udPy-hc7XPI&amp;t=0m43s"">0:43</a> that boy was so calm and his frnds too when he shook hands...i am imagining what would have been the situation..."
udPy-hc7XPI,Striker Bowls,Sir Steven Smith 😍
udPy-hc7XPI,Aditya Shrivastava,Can see his humble side. Great to see him back 🔥
udPy-hc7XPI,P P S,"The hardest part in committing a mistake is to own it, feel bad for smith that he had to go thru this adversity and face the wrath of an entire nation. Most of us commenting here have made mistakes but, yet we deny to agree and look for excuses, that’s human."
udPy-hc7XPI,Harshavardhana Simhadri,Steve smith is a good person at heart ... really i appreciate him and i am a big fan of the best test player in this era
udPy-hc7XPI,Edgbaston 149,Smith is looking great in that outfit
udPy-hc7XPI,Sahil Bonde,Wait a minute you guys talking about honesty yagh. With Smith hmm
udPy-hc7XPI,Somnath Tanpure,My faviorite cricketer steve smith
udPy-hc7XPI,Mama Jena,What a look handsome hero Steve super
udPy-hc7XPI,Jay Nagrecha,Jeez man those boys were so calm there... If I would be there I might be like oh my god.... The person I follow... I do idolise is in front of my eyes... I just want to have a hug from him... And little chats and batting tips...... Kinda getting emotional that dream of mine since many years that&#39;d beeen completed ( to meet my idol Steven Smith)....... <br><br><br><br>Love you smudg... 💙
udPy-hc7XPI,WWE Games,Smith you are my world best cricketer😗😘🥰🥰😍😍😍😍😍🤟
udPy-hc7XPI,Mr Johnny Yuvraj,Smith fan like here love from nepal 🇳🇵🇳🇵
udPy-hc7XPI,Jhinuk Bhattacharjee,"Not only you were in tears ! We all were in tears. Things were unacceptable . But you admitted your mistake. You were repentant. You proved yourself to be brave enough, by opening up about everything in public. But now, you are back ❤. I think we have got a new STEVE SMITH ❤ now , a stronger, tougher person, a highly matured human being. You still gave a long way to go ; you still have to rewrite many things ❤. My favourtie player since 2013, you are the best 😚"
udPy-hc7XPI,Sandip Pradhan,I love you Smith from India
udPy-hc7XPI,kunal ganotra,Indians Love Steve Smith
udPy-hc7XPI,MBAKB,It was all because of the bloody dwarf .. David Warner the cheat.. Smith is a good soul you can tell ..
udPy-hc7XPI,Sandeep Unni,I wish I wasn’t away that day
udPy-hc7XPI,Ashutosh Shukla,U r a legend smith<br>U r always a hero for me
udPy-hc7XPI,ABHISHEK ✨🤴,I love you bro your smile is so cute
udPy-hc7XPI,Ben Long,As an Englishman I obviously strongly dislike Australia cricket but I can’t help but like Smith. Best batsman in the world and seems such a good guy.
udPy-hc7XPI,Daniel Redcliffe,Love this man
udPy-hc7XPI,manohar man,"Smith realized his mistake ,"
udPy-hc7XPI,tarangpatel,Best since Bradman PERIOD
udPy-hc7XPI,uuuuuuuuuuuuuu,We saw you cry on the telly
udPy-hc7XPI,Shiva Kumar,I haven&#39;t seen a single boy being amazed to see Smith that&#39;s astonishing if Virat visits a school kids would have been so eager to meet him.Probably a difference in culture I guess.
udPy-hc7XPI,liam,Why is this guy still playing
udPy-hc7XPI,Wihan Gelderblom,"This is a amazing man,I’m from South Africa but all I can say is that “Steve your my idol” and your a great leader"
udPy-hc7XPI,gary pearce,"I am all out of superlatives to describe this incredible bloke.<br>He is an inspiration to all...what he went through in his Cricket life has no equal.<br>Standing down from the greatest job in the World...The Captain of Australia.<br>And what he has achieved on his return...leaves you gobsmacked...he maybe the greatest player that ever played.<br>This video was produced half way through his ban...and he was doing the circuit, speaking to kids in schools on mental health.<br>What an incredible man he is."
udPy-hc7XPI,Never give up,"Im also facing mental issues in my life , but steve smith is the man who helped me to overcome and start working on my goals. Im thankful to god ."
udPy-hc7XPI,Anirudh Sridhar,Now see how he cameback after that
udPy-hc7XPI,Chris Bowman,Steve Smith seems like a pretty decent bloke. He made one (big) mistake on a cricket field but he’s served his time. Hats off to him for this.
udPy-hc7XPI,padam khadka,"I know, that incident made u more stronger person, you r true gentleman, i always admire your dedication determination and passion toward cricket 🏏.. We love u Smith love from nepal..."
udPy-hc7XPI,Vansh Bhullar,Anyone here after ashes <br>Joe root be like chl bhosdike <br>Smith after every innings abhi To party shuru hoi ha
udPy-hc7XPI,sunny,This brought me in to tears. I&#39;m so proud of Smith representing our beautiful country. Love you Smudge..
udPy-hc7XPI,suniel poudel,just here after 211 in his  4th ashes test <br>this man makes me his fan.
udPy-hc7XPI,Kishan gupta,V. k of aus😎
udPy-hc7XPI,Dave Rogers,"I am a South African through and through. At the time of the incident at Newlands, I felt very sorry for Steve. I felt that the continued sledging over the years by Australian cricketers had contributed to this incident and Steve took the wrap for this accumulated karma. At the time of writing Steve is, yet again, re-writing cricket history by making his bat talk. He has definitely come through this a better person. I am a true admirer of his contribution both on and off the field."
udPy-hc7XPI,Shaquille Simpson,cheattttttttt cheatttttt cheatttttt....he is ah phonyyyyy
udPy-hc7XPI,Devil City,"A real Australian cheat, will do anything to Win, Australian Policy. Part of the Australian package just like the other Captain before him."
udPy-hc7XPI,TCS L,Good Job Steve.Valuable work.
udPy-hc7XPI,Bapin chandra Mahalik,A true champion of world cricket
udPy-hc7XPI,Robert K,Mistakes happen.  We&#39;re only human. Steve will be back with a bang in ashes tests
udPy-hc7XPI,jack sandel,When you from England and Smith returned for the Ashes like BRUH …….
udPy-hc7XPI,Osama Farooq,Bull hit<br>Bullshit<br>.... Pakistanis got banned for five years for fixing these guys got only one year each... just goes to show how much white skin goes
udPy-hc7XPI,Jim Schmidt,he shouldnt have survived that joffra ball...
udPy-hc7XPI,shaurya vardhan,"Whats done is done . I am just happy to see him play again . Claiming the Throne ,that has always been his . <br>Greatest test batsman of the modern era."
udPy-hc7XPI,Dave Spellbound,"both teams got reeverse swing so both had to be guilty of ball tampering. Since the ban noone gets reverse swing. Coincidence? No, So it was a ban that had to happen for the sake of  fair cricket"
udPy-hc7XPI,Romeo Abeygunawardena,"Smith is the greatest batsman alltime,and the sandpaper story is a simple mistake which he agreed to his teammates did.that will nöt make him a cheat,there are real cheaters in asian cricket teams who can be bribed for money.but nobody call them cheaters?"
udPy-hc7XPI,George,"As an Englishman, the way Steve has handled what he did wrong and then not only used it to help others but also come back and score so heavily, is inspiring and is a great example to the young cricketers of today. As he said, to show vulnerability is important for mental health, especially for men. Let’s hope the Ashes this year are unforgettable, no matter who wins."
udPy-hc7XPI,Atta Rehman,Everybody makes mistakes. Nobody is perfect. What a player this guy is
udPy-hc7XPI,Ulbre De Folie,"Good on not only Steve Smith but Gus Worland and the whole Gotcha for life team.<br>The gift of your time in invaluable, so thank you."
udPy-hc7XPI,SuperHamlet666,Pretty obvious he had nothing to do with Cam Scumcroft cheating but takes full responsibility anyway like a true leader.
udPy-hc7XPI,Prophet D,Love you Steven smith <br>From Jamaica
udPy-hc7XPI,Thechamp Srikarthi,He&#39;s Back with couple of Tons &lt;3
udPy-hc7XPI,Chris Lee,Back to back centuries against England in England!<br>Wow! <br>What a comeback boy!
udPy-hc7XPI,MAHESH C,Steav My hero from indiq
udPy-hc7XPI,Tanu sree,Love you so much steve smith &lt;3 &lt;3
udPy-hc7XPI,sahel islam,Love you smith from bangladesh
udPy-hc7XPI,Chai Pokoda Memes,Why i imagine Donald trumph listening Steven smith🤔🤔🤔
udPy-hc7XPI,Gayathri Balaji,Smith you are best
udPy-hc7XPI,Ashraful alam Palash,You are a true inspiration Steve Smith.God Bless you
udPy-hc7XPI,Khan RAHIL,great  player  Steve  Smith  no  1  i
udPy-hc7XPI,Tejinder Singh,He is really a good bloke. Instead of blaming others he claimed  himself as completely accountable for the incident in Cape town. It&#39;s too hard to take blame on ourself . It requires so much of courage . His only mistake was he didn&#39;t stop this go happen. He even said that he had opportunity to stop it. Such a good sportsman he is.
udPy-hc7XPI,ThAnaviSw B Vishu,I  biggest Indian  fans Australia players my favorite steve SmitH 👌👌
udPy-hc7XPI,Himani,love you Smith
udPy-hc7XPI,Ashish Singh,Love you smithy
udPy-hc7XPI,RAGHABENDRA KUMAR JHA,"Such a great player but this ball tampering had defamed him otherwise, there is no word for smudze means he is great👌"
udPy-hc7XPI,Naga Sathish,Smith fans like here(love from india)
udPy-hc7XPI,Hemanth Kumar,"Many members are dis couraging the smith,warner. Imagine if there is no smith, Warner, Australia cricket team doesn&#39;t gives  tough competition to opposition side. Luv u both"
udPy-hc7XPI,Noah Carlisle,“Former captain” lmao
udPy-hc7XPI,Prabrisha Bharadwaj,I just love people when the accept their mistakes and move on. Smith&#39;s my fave. Missing you a lot.
udPy-hc7XPI,manoj Gaglani,Smith bastard cheater
udPy-hc7XPI,Perfect News,"<a href=""http://www.youtube.com/results?search_query=%23Traitor"">#Traitor</a>"
udPy-hc7XPI,Calm,Am I only one who went gloomy when I saw STEVE SMITH -FORMER AUSTRALIAN CAPTAIN
udPy-hc7XPI,Bakhtair Khan,Don&#39;t worry SS every human make mistakes
udPy-hc7XPI,Jr boss,Steve Smith he is a great man
udPy-hc7XPI,Shubham Rawat,I love you smith bro
udPy-hc7XPI,Shanmugam Shanmugam,My favorite player
udPy-hc7XPI,Steven Naim,I missed everyday of my smithy
udPy-hc7XPI,Pinky Patel,Come on Steve you can win the World Cup 🏟
udPy-hc7XPI,Shubham Gupta,"People say that we should not pity him as Australians falsely accused sachin sehwag and others but it was not this generation, i think this new generation  with new players have less hatred amongst them and as for us we forgive you steve smith . Glad to watch you ipl . And best of luck for the world cup . Love from India"
udPy-hc7XPI,Dawah East to West,Great batsman i have ever seen in my live i know he doing mistake but he accepted and real man accepted mistake love you smith from India 💖💖💖
udPy-hc7XPI,raj limboo,Peter handsome is better than Smith
udPy-hc7XPI,Arun Raju,"This feels like an attempt at rebuilding trust and faith with the public, I dont criticize it , but I would have appreciated had he just got on with it, instead of giving these dramatic interviews. Looking back, it was an ugly incident, I believed the punishment was too harsh, but life moves on and he should too."
udPy-hc7XPI,buffant ,ESHAYS LADS
udPy-hc7XPI,NISHA AGARWAL,Respect for this man . Really.
udPy-hc7XPI,Rahul Mourya,CA was too harsh on these guys😳😳
udPy-hc7XPI,Mahesh Reddy,Once a cheat<br>Always a cheat
udPy-hc7XPI,Billy Knightley,Man up u cheat stop feeling sorry for your self only u and everyone involved are to blame
udPy-hc7XPI,aruldass a,Smith best
udPy-hc7XPI,himanshu agnihotri,Great 👍 Great 👍 initiative.. we all make mistakes.. I am sure Smith will come back strongly and make Australian Cricket great again... Love from India 🇮🇳
udPy-hc7XPI,Ajinkya Ghogare,Aussies are the best people in the world
udPy-hc7XPI,Bi Ja,Smith is going to rock in WC
udPy-hc7XPI,Sam Dawkins,"the whole thing was a storm in a teacup. everybodys who ever played any sort of competitive cricket has ball tampered to try and get rev swing, the Aussies just took it too far. deserved a big fine and a game or 2 or and thats it. Seriously not that big a deal"
udPy-hc7XPI,Swapnil Jha,"Being a human we go through some difficult phases in life where our problem seems to be more visual  than other aspects ,but thats the beauty of life which wants you to show him that no you are up against everything that comes between you and your happiness ,success etc.and thats been shown by this beautiful human ..❤️"
HdVgr5F7AtQ,Chun Chun ke lunga ,Why they everyone shows only cow&#39;s We have people also 😂
HdVgr5F7AtQ,Orko probho Bhaduri,"Cricket is a religion in india. But we don&#39;t worship it like our gods. We just give it love and support to the extent all other nations combined can&#39;t. As a result, as the ipl specially shows, india is the land of cricketing insanity<br>Our tale revolves around 11 gods/nation betrayers - given how they perform along with 1.3 billion indians. Breathing on the shoulders of those 11 players 24*7, getting pressurised as well as rewarded like no other<br>When I was In chandigarh, I went to mohali to watch an india vs sri lanka test match, and even after being a secular hindu for whom god&#39;s existance cum worship makes no difference, along with me staying away from it for years, I gently touched the floor of that mohali stadium with my hands, as a mark of endless gratitude<br>We can&#39;t love this amazing sport enough. Made by the british but owned in every way by indians<br>One like no other"
HdVgr5F7AtQ,AUDIO JACK,R.I.P SHANE WARNE 💔💔💔💔💔
HdVgr5F7AtQ,jissan 1971,"<a href=""https://youtu.be/dHunn4TKYRU"">https://youtu.be/dHunn4TKYRU</a><br>Bangladesh Vs Australia"
HdVgr5F7AtQ,Rich nigga,"Bcci = board of cricket control , india. Board and Control  and Indi means bishnu scheming , so me not a part and so if irfan brugh"
HdVgr5F7AtQ,Bucket List Journey..,Dont no when you shity people will change your mind sect ..
HdVgr5F7AtQ,Gus Saunders,Bahahhahah I love those cows just sitting right in the middle of the road!!😂😆
Z6-drL_ozN8,dharminder singh,Sir kya factory se direct bat purchage kar sakte hai
Z6-drL_ozN8,Lavish kumar Gamer,Bitnoliy sport bat manufacturer  willo give meerut  9568645899
Z6-drL_ozN8,Haris Assadi,Sir give me address I want to visit because I have Export import business
Z6-drL_ozN8,Gantala Sujatha,BaLU<br>9603412393
Z6-drL_ozN8,Harry sultan,Bas bats are good in jld
Z6-drL_ozN8,Ajay Meena,9950272974
Z6-drL_ozN8,Ajith92,Jalandhar kaha pe r
Z6-drL_ozN8,Mayank Mehta,Nice to see❤️
Z6-drL_ozN8,Dr Tripti,What is address of this factory mate
Z6-drL_ozN8,No pain No gain,Any one purchase bat from this factory???
Z6-drL_ozN8,Krushnachandra Pradhan,Hallo bhai mereko aki bat cahia call me 9777607221
Z6-drL_ozN8,Santosh Kumar,How can in price of bats in leather
Z6-drL_ozN8,Babit Mansotra,Snd me your no I want to buy your product in wholesale
Z6-drL_ozN8,EL BALJINDER SINGH,Phone nomber please
Z6-drL_ozN8,Nick Ennn Kayy Pee,"Top class cricket equipment manufacturing company, not only of Punjab but also of India. 👍👍👍"
Z6-drL_ozN8,K Deep,Check the quality of the bat a worker threw in the end...it dosen&#39;t look good to me.
Z6-drL_ozN8,Varun Kumar,Very nice work
Z6-drL_ozN8,gully sports,Number plz
Z6-drL_ozN8,Maan Singh,Sir please do the international giveaways 🔥🇮🇳🔥 🔥🔥
Z6-drL_ozN8,Crazy Sardar,FC Sondhi is state of the Art factory. It feels like you are in top class MNC....
Z6-drL_ozN8,sannithi's think,give the conduct pH no pls
Z6-drL_ozN8,try me¿,I love the content of this video .....what&#39;s the name of this factory??
Z6-drL_ozN8,Kaushal Mattu,Nice
Z6-drL_ozN8,Rahul Kumar,Hi
Z6-drL_ozN8,Harman Singh,And send your address
Z6-drL_ozN8,Badiuz Zaman,Address bolon
Z6-drL_ozN8,Badiuz Zaman,Ata indiay kothay
Z6-drL_ozN8,samba nani,Jai Sri Viswakarma....
Z6-drL_ozN8,Vin,"Hi, how do i get it contact with theis factory? I would like to order a bat or two from these guys. Much appreciate it."
Z6-drL_ozN8,vicky khaddu,fabulous video
Z6-drL_ozN8,HT.UNIVERSAL TECH,hii thanks for uploading i m the manager of the factory....
izrnPjwLrS8,Sunil Mohandas,The members should sell it off to MCA and buy some small land  for other games for its members to play and time pass. Mumbaikars would want all matches here with the MCA as the owners. There is space all around to create a mammoth stadium which this great cityneeds.
izrnPjwLrS8,JNR 29,Can this stadium get any test match in future<br>This stadium is look alike stadiums in england
izrnPjwLrS8,Apol Mandal,Hello sir<br>My name is Apol mandal from Odisha<br>Sir I want to join the cricket club so I texted something here if you get charge me then <br>Could you call me please<br>It&#39;s my number 9348459626<br>Thank you sir
izrnPjwLrS8,Luke Carroll,first
GqPRxZBj0RY,Gwen Netto,We are lucky to have Maddo at Melbourne Stars he’s awesome
GqPRxZBj0RY,Matheesha Dassanayaka,Nick Madinson will probably come back in 2020
GqPRxZBj0RY,AUSDip,Maddison won’t play
GqPRxZBj0RY,T Lymphocyte,hopeless player
GqPRxZBj0RY,Omkar Deepak Thite,Rip is test career <br>2017-2017
GqPRxZBj0RY,Spicycurry Sauce,Only 1 comment nani
GqPRxZBj0RY,Faaiz Butt,Watched him bat the other day in a premier match <br>He will come back strong
AI-_eoUVeHw,Salma Khatun,Today England  story 💣💥💣💥💣💥💣💥💣💥💥💣💥💣💥💣💥💣💥💣💥💣💣💥💣
